"P1","P2","P3","P4","Hypothesis","GoldLabel"
"The little boy with the big glasses trying his luck at science.","The little boy with the big glasses is in his kitchen.","The little boy with the brown hair trying his luck at science.","The little boy with the brown hair is in his kitchen.","The little boy is sitting in his living room.","contradiction"
"a woman dressed in a white blouse.","a woman dressed in a pink blouse.","a woman dressed in pink sandals.","A heated cart of food is being pulled on a city street by a woman.","The woman is delivering food to people.","neutral"
"A group of vocalists are being conducted by an older gentleman.","vocalists dressed in black.","A group of instrumentalists are being conducted by an older gentleman.","instrumentalists dressed in black.","the group is large","neutral"
"People at one woman in the foreground is holding a Japanese flag.","People at some type of event is holding a Japanese flag.","People at one woman in the foreground is wearing a white jacket.","People at some type of event is wearing a white jacket.","Some people attend a music concert.","neutral"
"A woman in green necklace holding a purse.","A woman in green necklace wearing sunglasses.","A woman in a green tank top holding a purse.","A woman in a green tank top wearing sunglasses.","a woman is holding a pocket book","entailment"
"A woman in a red wrap dress stands with her hand on her heart next to a man.","A woman in a red wrap dress stands with her hand on her heart next to another lady.","A woman in a green wrap dress stands with her hand on her heart next to a man.","A woman in a green wrap dress stands with her hand on her heart next to another lady.","The woman in the dress was standing next to two people.","entailment"
"A kid in a black hockey jersey has just scored a goal on a kid in a tan hockey jersey.","A kid in a black hockey jersey has just scored a goal on a kid in a white hockey jersey.","A kid in a blue hockey jersey has just scored a goal on a kid in a tan hockey jersey.","A kid in a blue hockey jersey has just scored a goal on a kid in a white hockey jersey.","Two kids are playing hockey.","entailment"
"a woman happily sliding through the show in the mountains.","a woman are on a sled.","A boy happily sliding through the show in the mountains.","A boy are on a sled.","The boy and woman are sledding together.","neutral"
"the ground surrounded by smiling at the camera.","A young boy with blue stripes is sitting on the ground.","the ground surrounded by other children.","A young boy in a orange is sitting on the ground.","The boy is sitting on the floor.","entailment"
"A skateboarder in a shorts skates alone in a wide open space.","A skateboarder in a tan skates alone in a wide open space.","A skateboarder in a black shirt skates alone in a wide open space.","A skateboarder in a red baseball cap skates alone in a wide open space.","He is wearing a yellow beanie.","contradiction"
"A man with short hair wears a gray shirt.","A man with short hair wears a necklace.","A man with black skin wears a gray shirt.","A man with black skin wears a necklace.","The man is dressed nicely.","entailment"
"A brown dog is standing over water.","A black dog is standing over water.","A brown dog is wearing a blue color.","A black dog is wearing a blue color.","The dog is running through a field.","contradiction"
"a street holding up a yellow flag.","a street holding up a green flag.","a street holding up a red flag.","People standing along a street.","the people are flying a plane","contradiction"
"black pants standing in formation.","black hats standing in formation.","jackets standing in formation.","Men wearing red standing in formation.","A number of people stand in formation","entailment"
"A group of construction workers holding tools.","A group of construction workers holding gloves.","A group of construction workers are standing .","construction workers wearing hard hats.","Workers are standing near a partially built house.","neutral"
"a soccer field wearing yellow uniforms.","a soccer field wearing red uniforms.","a soccer field wearing blue uniforms.","Teams assemble on a soccer field.","There are people on a soccer field.","entailment"
"Two girls , on in the other in yellow play soccer.","Two girls , on in the other in blue play soccer.","Two girls , on in black play soccer.","Two girls , on in red play soccer.","Some girls are playing soccer.","entailment"
"one young woman are standing around a table at a bowling alley.","Six young man are standing around a table at a bowling alley.","one young woman are sitting .","Six young man are sitting .","7 people are at a bowling alley","entailment"
"Bicyclist riding on a grass field wearing a yellow uniform.","Bicyclist riding on a grass field wearing a red uniform.","Bicyclist riding on a grass field wearing a helmet.","Bicyclist riding on a grass field wearing shades.","The man is practicing riding his bike on grass to prepare for a competition.","neutral"
"A boy with a blue hat is hugging a white dog on a porch in the snow.","A boy with a blue hat is hugging a brown dog on a porch in the snow.","A boy with a black jacket is hugging a white dog on a porch in the snow.","A boy with a black jacket is hugging a brown dog on a porch in the snow.","The boy is hugging a cat.","contradiction"
"the water dressed in a green leafy headwear.","the water dressed in a white shirt.","the water dressed in a blue dress.","A woman looks out over the water.","A woman wearing something on her is head is near water.","entailment"
"The little boy with the big glasses trying his luck at science.","The little boy with the big glasses is in his kitchen.","The little boy with the brown hair trying his luck at science.","The little boy with the brown hair is in his kitchen.","The little boy is practicing a chemistry experiment.","neutral"
"woman looking through baggies.","woman are sitting on the floor.","A man looking through baggies.","A man are sitting on the floor.","They people are inspecting drugs","neutral"
"a baby sitting on a porch.","Girl with arms crossed a man with a baby.","a gray beard holding a glass.","Girl with arms crossed a man with a gray beard.","They are playing football.","contradiction"
"A man in a black jacket stands on top of a big rock.","a big rock looking down on valleys.","a big rock looking down on hills.","A man in shorts stands on top of a big rock.","The man reached the summit of his hike.","neutral"
"Square dancers decked out in white square-dance attire circle around on a tiled patio with palm trees in the background.","Square dancers decked out in white square-dance attire circle around on a tiled patio with arches in the background.","Square dancers decked out in green square-dance attire circle around on a tiled patio with palm trees in the background.","Square dancers decked out in green square-dance attire circle around on a tiled patio with arches in the background.","they are having a ho-down","neutral"
"Two men with hats are exploring the land.","Two men with glasses are exploring the land.","Two men with clothes are exploring the land.","Two men with similar mustaches are exploring the land.","The two men are dead.","contradiction"
"the band dressed in a red uniform with white braid trim.","the band dressed in a red uniform with black cuffs.","Trumpet player with eyes playing in the band.","Trumpet player with eyes closed .","Person playing his musical instrument with others.","entailment"
"a shore lined with other large objects.","a shore lined with furniture.","a boat paddling toward a shore.","A man standing up in a boat.","The man as trying to get to the shore with furniture on it.","entailment"
"a boy are eating at a table.","A woman are eating at a table.","a boy are sitting .","A woman are sitting .","they are eating pizza","neutral"
"Man in white sneakers juggling knives in a city park.","Man in black socks juggling knives in a city park.","black denim shorts juggling knives.","Man in yellow t - shirt juggling knives in a city park.","A street performer is outdoors.","entailment"
"women are having a water battle with squirt guns.","women are having a water battle with water bottles.","Several men are having a water battle with squirt guns.","Several men are having a water battle with water bottles.","Some children are fighting by throwing water balloons full of urine at each other.","contradiction"
"A man in a black uniform carries blankets across a sidewalk outside of a red bricked building.","A man in a black uniform carries luggage across a sidewalk outside of a red bricked building.","A man in a white uniform carries blankets across a sidewalk outside of a red bricked building.","A man in a white uniform carries luggage across a sidewalk outside of a red bricked building.","The man is wearing a red dress.","contradiction"
"all dressed in maroon pants.","all dressed in ties.","A group of students walking down a street.","all dressed in white shirts.","A group of people dressed in uniforms walk toward the movie theatre.","neutral"
"A line of white booths line the side of a street outside a store with one man.","A line of green booths line the side of a street outside a store with one man.","one man sitting in a booth.","A line of blue booths line the side of a street outside a store with one man.","A group of booths are all the same color and are deserted.","contradiction"
"a woman answering questions about a book.","a woman are on stage.","Four men answering questions about a book.","Four men are on stage.","The group of people wrote the book.","neutral"
"A white shorthair dog runs across green grass.","A white shorthair dog runs across brown grass.","A black shorthair dog runs across green grass.","A black shorthair dog runs across brown grass.","A tiger growls loudly.","contradiction"
"A brown dog walks down a grass hill.","A brown dog walks down a dirt hill.","A black dog walks down a grass hill.","A black dog walks down a dirt hill.","Two puppies are outside.","neutral"
"a wheelchair holding a gray cane.","A man in a wheelchair sits in front of some trees.","A man in a wheelchair sits in front of some bushes.","a wheelchair wearing a brown jacket.","a man is thinking about the days when he could walk","neutral"
"A man stands at the wheel of a open.","A man stands at the wheel of a trunk.","A man stands at the wheel of a door.","A man stands at the wheel of a classic american car.","He is next to a train","contradiction"
"There is a man in a yellow outfit.","a yellow outfit playing the drums.","There is a man in a black outfit.","a black outfit playing the drums.","A man is playing the guitar.","contradiction"
"staff sit on the paint in a recreation center.","Children sit on the paint in a recreation center.","staff sit on the floor in a recreation center.","Children sit on the floor in a recreation center.","The staff had an unscheduled group activity for kids.","neutral"
"a little boy sit on a homey exterior porch in front of an exotic fauna nature scene.","a little boy sit on a homey exterior porch in front of an exotic flora.","Two adults sit on a homey exterior porch in front of an exotic fauna nature scene.","Two adults sit on a homey exterior porch in front of an exotic flora.","The boy is climbing a tree.","contradiction"
"a woman are holding hands.","A man are holding hands.","a woman are standing on grass.","A man are standing on grass.","A newlywed couple are on their honeymoon.","neutral"
"A man in a panama aviator glasses converses with another man in jeans.","A man in a panama aviator glasses converses with another man in a gray sport coat.","A man in a panama hat glasses converses with another man in jeans.","A man in a panama hat glasses converses with another man in a gray sport coat.","Two men are standing outside.","neutral"
"a man are silhouetted in front of a yellow skyline.","a man are silhouetted in front of a orange skyline.","Three horses are silhouetted in front of a yellow skyline.","Three horses are silhouetted in front of a orange skyline.","A man is inside","contradiction"
"A kid in a black hockey jersey has just scored a goal on a kid in a tan hockey jersey.","A kid in a black hockey jersey has just scored a goal on a kid in a white hockey jersey.","A kid in a blue hockey jersey has just scored a goal on a kid in a tan hockey jersey.","A kid in a blue hockey jersey has just scored a goal on a kid in a white hockey jersey.","a young hockey player scored against another young hockey player and is very happy","neutral"
"An elderly Asian woman is wearing a plaid jacket.","An elderly Asian woman is wearing a yellow scarf.","An elderly Asian woman is wearing sunglasses.","An elderly Asian woman is wearing a beret.","The woman is old.","entailment"
"another woman wearing a bracelet.","another woman wearing a watch.","One woman getting her haircut by another woman.","One woman is sitting down .","Nobody is sitting","contradiction"
"a lady with a yellow shirt is walking up the steps with a man behind her.","a man behind her wearing a dark plaid shirt.","A crowd of people is walking up the steps with a man behind her.","people wearing blue LA baseball caps at a game.","The couple are stadium ushers.","neutral"
"a person wearing glasses.","a person wearing a white sweater.","A woman is standing next to a person.","A woman is looking at a camera.","Woman taking pictures of her daughter","neutral"
"A child in a dog pose for a picture outdoors.","A child in a black bike helmet pose outdoors for a picture.","A child in jeans pose for a picture outdoors.","A child in a red sweatshirt pose for a picture outdoors.","The helmet is white.","contradiction"
"A man in a black jacket stands on top of a big rock.","a big rock looking down on valleys.","a big rock looking down on hills.","A man in shorts stands on top of a big rock.","The man has just climbed for several hours and is looking down at how far he has climbed.","neutral"
"a man wearing a blue shirt.","a man wearing a gray shirt.","a man wearing a red shirt.","a man wearing a hat.","A man wears a multicolored shirt.","entailment"
"eyeliner smokes two cigarettes at the same time.","an earring smokes two cigarettes at the same time.","a red jacket smokes two cigarettes at the same time.","A man with gold necklaces smokes two cigarettes at the same time.","The man is in a blue jacket","contradiction"
"groom looking at a body of water.","groom are standing on a walkway.","A bride looking at a body of water.","A bride are standing on a walkway.","a boy and girl throwing rocks at the lake","neutral"
"A young boy in a black long - sleeved shirt is happily placing them into his basket.","A young boy in a red long - sleeved shirt is happily placing them into his basket.","A young boy in a black long - sleeved shirt is happily picking up Easter eggs.","A young boy in a red long - sleeved shirt is happily picking up Easter eggs.","A boy gathers plastic Easter Eggs filled with tokens for big prizes.","neutral"
"women at their wedding reception talking with family.","women at their wedding reception talking with friends.","A man at their wedding reception talking with family.","A man at their wedding reception talking with friends.","no one came to the wedding","contradiction"
"a plaid shirt is pulling a bike.","A dark - haired man in a hat is pulling a bike.","a plaid shirt is riding .","A dark - haired man in a hat is riding .","A man sits and waits for the bus.","contradiction"
"a child are sitting on a stone fence with a waterfall in the background.","a child are sitting on a log fence with a waterfall in the background.","A woman are sitting on a stone fence with a waterfall in the background.","A woman are sitting on a log fence with a waterfall in the background.","The waterfall in the background is very loud.","entailment"
"A person in pants to be digging in a wooded field with several cars in the background.","A person in pants appears .","A person in a green jacket to be digging in a wooded field with several cars in the background.","A person in a green jacket appears .","The person is preparing a grave.","neutral"
"a safety control chamber dressed in gray gloves.","a safety control chamber dressed in black pants.","a safety control chamber dressed in an orange suit.","A man standing outside of a safety control chamber.","The man is working","neutral"
"a young girl relax smile at the camera.","A man relax smile at the camera.","a young girl relax outside.","A man relax outside.","The people are frowning","contradiction"
"colorful hat is singing on stage in front of a band.","A woman in a white dress is singing on stage in front of a band.","colorful hat is dancing .","A woman in a white dress is dancing .","The woman is making noise on a stage.","entailment"
"A young boy with skin leaning out of a window of a white bus with orange stripes.","A young boy with skin leaning out of a window of a white bus with green stripes.","dark hair leaning out of a window of a white bus with orange stripes.","dark hair leaning out of a window of a white bus with green stripes.","A child with complete alopecia hangs out of a bus.","contradiction"
"a woman answering questions about a book.","a woman are on stage.","Four men answering questions about a book.","Four men are on stage.","There is a woman in a white gown smiling and fighting four men in suits with only a broad sword.","contradiction"
"woman something is drawing their attention.","The man something is drawing their attention.","woman are outside.","The man are outside.","A man and woman are in a kitchen, looking out a window.","contradiction"
"There is a man in a white t dark shorts.","a white t dark shorts walking down a slightly littered alley.","There is a man in a white t - shirt shorts.","a man in a white t - shirt shorts walking down a slightly littered alley.","Man running on treadmill at gym.","contradiction"
"the guy in the white jersey is falling .","the guy in the red jersey is falling .","The guy in the white jersey is running .","The guy in the blue jersey is running .","two guys lay on beach towels","contradiction"
"1 man in an orange jumpsuit are walking next to red loading docks.","1 man in an orange jumpsuit are walking next to green loading docks.","6 men in work jumpsuits are walking next to red loading docks.","6 men in work jumpsuits are walking next to green loading docks.","All 7 men are best friends.","neutral"
"Bicyclist riding on a grass field wearing a yellow uniform.","Bicyclist riding on a grass field wearing a red uniform.","Bicyclist riding on a grass field wearing a helmet.","Bicyclist riding on a grass field wearing shades.","Someone is driving a car.","contradiction"
"The man is wearing a red plaid kilt.","The man is wearing shoes.","The man is wearing a black shirt.","The man is wearing a feathered beret.","The man is celebrating a Scottish tradition.","neutral"
"A young woman in a black colored top is utilizing other ingredients to bake in the kitchen.","A young woman in a black colored top is utilizing flour to bake in the kitchen.","A young woman in a print is utilizing other ingredients to bake in the kitchen.","A young woman in a print is utilizing flour to bake in the kitchen.","This woman is not in her bedroom right now.","entailment"
"A white dog is jumping a yellow pole.","A white dog is jumping a red pole.","A brown dog is jumping a yellow pole.","A brown dog is jumping a red pole.","A panda sneezing.","contradiction"
"objects made of some of terrycloth.","objects made of plastic.","a drawer filled with objects.","A baby is looking into a drawer.","The baby is sleeping.","contradiction"
"Three african american women are dressed in brown headscarves.","Three african american women are dressed in bright orange headscarves.","Three african american women are dressed in brown dresses.","Three african american women are dressed in bright orange dresses.","Some people in orange","entailment"
"Man in khaki pants is walking near a man.","a man holding a white umbrella.","a man holding a blue umbrella.","Man in blue jacket is walking near a man.","Neither of the men have an umbrella.","contradiction"
"An elderly woman in black pants looking off into the distance.","An elderly woman in black pants is sitting on a stone ledge.","An elderly woman in a tan jacket looking off into the distance.","An elderly woman in a tan jacket is sitting on a stone ledge.","The elderly woman is reflecting on her life as she stares into space on a stoop.","neutral"
"A brown dog with his tongue out facing a second , almost off - camera dog.","A brown dog with his mouth open facing a second , almost off - camera dog.","A white dog with his tongue out facing a second , almost off - camera dog.","A white dog with his mouth open facing a second , almost off - camera dog.","The camera captures an empty ocean","contradiction"
"a blue tank top runs on the grass near an orange tape.","a blue tank top runs on the grass near an orange cone.","A young girl in dark shorts runs on the grass near an orange tape.","A young girl in dark shorts runs on the grass near an orange cone.","There is a girl swimming in a pond.","contradiction"
"yellow uniforms doing a cheerleading routine.","Young women dressing in yellow uniforms.","white uniforms doing a cheerleading routine.","Young women dressing in white uniforms.","The girls are doing a cheerleading routine.","entailment"
"A little girl in an elaborate orange dress is chasing after a white balloon figure.","A little girl in an elaborate orange dress is chasing after a pink balloon figure.","A little girl in an elaborate green dress is chasing after a white balloon figure.","A little girl in an elaborate green dress is chasing after a pink balloon figure.","The little girl is running.","entailment"
"A girl in yellow shorts is yelling into a microphone on a stage.","A girl in a blue shirt is yelling into a microphone on a stage.","A girl in yellow shorts is jumping in the air.","A girl in a blue shirt is jumping in the air.","A girl is riding her bike.","contradiction"
"bib eats a biscuit.","A blond , fair - skinned baby in a pink top eats a biscuit.","bib sits in a highchair.","A blond , fair - skinned baby in a pink top sits in a highchair.","A baby crawls on the floor, eating fallen Cheerios.","contradiction"
"An elderly woman in a scarf is standing outside.","a scarf tied around her head.","An elderly woman in a tan coat is standing outside.","a tan coat tied around her head.","A muslim lady stands outside.","neutral"
"teacher keeping busy with crafts.","teacher keeping busy with arts.","Children keeping busy with crafts during class.","Children keeping busy with arts during class.","People are in school.","entailment"
"green shirt plays outside in the grass with an white soccer ball.","green shirt plays outside in the grass with an orange soccer ball.","A small girl in a jean skirt plays outside in the grass with an white soccer ball.","A small girl in a jean skirt plays outside in the grass with an orange soccer ball.","The girl is kicking the ball.","neutral"
"A clothed male adults crocheting separately from a orange yarn ball while sitting in chairs of wood.","A clothed male adults crocheting separately from a blue yarn ball while sitting in chairs of wood.","A clothed female adults crocheting separately from a orange yarn ball while sitting in chairs of wood.","A clothed female adults crocheting separately from a blue yarn ball while sitting in chairs of wood.","The female and male are husband and wife.","neutral"
"A man in black shoes playing a brown guitar beside a tray of produce.","A man in black shoes sits beside a red bucket full of money on a blue folding chair.","A man in white slacks playing a brown guitar beside a tray of produce.","A man in white slacks sits beside a red bucket full of money on a blue folding chair.","A man is standing in the street playing the drums.","contradiction"
"A lady with tan shorts is putting them in a plastic bag.","A lady with a green shirt is putting them in a plastic bag.","A lady with tan shorts is picking out strawberries.","A lady with a green shirt is picking out strawberries.","A woman holds a bag as another person picks strawberries for her","contradiction"
"a lady with a yellow shirt is walking up the steps with a man behind her.","a man behind her wearing a dark plaid shirt.","A crowd of people is walking up the steps with a man behind her.","people wearing blue LA baseball caps at a game.","There is a group of LA baseball fans at the game.","neutral"
"A girl in a green skirt leans on a car while a man in a girl in a dress converse.","A girl in a green skirt leans on a car while a man in a suit.","A girl in a yellow shirt leans on a car while a man in a girl in a dress converse.","A girl in a yellow shirt leans on a car while a man in a suit.","the girl is coming home from church","neutral"
"black boots is walking down the street.","A black - haired woman in a white skirt is walking down the street.","black boots is carrying a red bag.","A black - haired woman in a white skirt is carrying a red bag.","A man dances naked on top of a baby grand piano.","contradiction"
"A brown - haired lady in black pants looking around.","A brown - haired lady in black pants standing .","A brown - haired lady in a red shirt looking around.","A brown - haired lady in a red shirt standing .","The brunette lady was sharply dressed looking for her date.","entailment"
"orange hard hats looking at a recently sawed down tree.","orange hard hats are standing on a hillside.","Two men in plaid shirts looking at a recently sawed down tree.","Two men in plaid shirts are standing on a hillside.","Two men are looking at the tree they cut down due to the damage from the storm.","neutral"
"a truck holding packages of building blocks.","a truck holding packages of puzzles.","a truck holding packages of games.","Two soldiers stand next to a truck.","The soldiers are sitting.","contradiction"
"a lady with a yellow shirt is walking up the steps with a man behind her.","a man behind her wearing a dark plaid shirt.","A crowd of people is walking up the steps with a man behind her.","people wearing blue LA baseball caps at a game.","A couple watch the game at home.","contradiction"
"one is wearing the other one.","Two men is wearing a gray shirt.","one is wearing a blue shirt.","Two men are walking up the stairs.","Two room-mates are heading upstairs to their apartment.","neutral"
"A man in a cap is drinking from a cup.","A man in a jacket is drinking from a cup.","A man in a cap is crouching down.","A man in a jacket is crouching down.","The man is only wearing a tee shirt.","contradiction"
"staff sit on the paint in a recreation center.","Children sit on the paint in a recreation center.","staff sit on the floor in a recreation center.","Children sit on the floor in a recreation center.","People are painting in a room.","entailment"
"A man with white shorts is walking near a man with a black pants down a busy street.","A man with white shorts is walking near a man with a white shirt down a busy street.","A man with a red shirt is walking near a man with a black pants down a busy street.","A man with a red shirt is walking near a man with a white shirt down a busy street.","The men are fighting.","contradiction"
"A group of young people are holding a blue dustpan.","A group of young people are holding a yellow broom.","A group of young people are smiling .","young people wearing name tags.","The people are starting their first day or work.","neutral"
"Two men in sandals are carrying drinks at a farmers market.","Two men in sandals are carrying food at a farmers market.","Two men in shorts are carrying drinks at a farmers market.","Two men in shorts are carrying food at a farmers market.","Men enjoying day out and about shopping.","neutral"
"A man in shorts is jumping in the grass.","A man in a white shirt is jumping in the grass.","A man in shorts is running .","A man in a white shirt is running .","The man is inside.","contradiction"
"A man in a cap is drinking from a cup.","A man in a jacket is drinking from a cup.","A man in a cap is crouching down.","A man in a jacket is crouching down.","The man is not standing upright.","entailment"
"a young boy smiles Near a chair.","a young boy smiles Near a window.","a young boy in a blue shirt holds something in his hand Near a chair.","a young boy in a blue shirt holds something in his hand Near a window.","A boy holding a new toy.","neutral"
"A man in a yellow jacket stands in a street with people behind him on the sidewalk.","a yellow jacket holding a religious sign.","A man in a blue jacket stands in a street with people behind him on the sidewalk.","a blue jacket holding a religious sign.","the guy on the street held up a sign on a hot day","neutral"
"Three african american women are dressed in brown headscarves.","Three african american women are dressed in bright orange headscarves.","Three african american women are dressed in brown dresses.","Three african american women are dressed in bright orange dresses.","The three women are sisters.","neutral"
"A woman with a dark dress is holding a guitar.","A woman with dark curly hair is holding a guitar.","A woman with a dark dress is singing .","A woman with dark curly hair is singing .","A person in a dress is performing.","entailment"
"A man with a white beard is posed with trees in the background.","A man with a white beard is posed with a cane in the background.","A man with red glasses is posed with trees in the background.","A man with red glasses is posed with a cane in the background.","The man stands in a city.","neutral"
"A young woman in a black colored top is utilizing other ingredients to bake in the kitchen.","A young woman in a black colored top is utilizing flour to bake in the kitchen.","A young woman in a print is utilizing other ingredients to bake in the kitchen.","A young woman in a print is utilizing flour to bake in the kitchen.","The woman is baking lasagna.","neutral"
"Two women having fun.","Two women laughing .","Two women are seen .","Two women are embracing in a rather lurid scene.","One woman is alone in a rather lurid scene.","contradiction"
"A man wearing jeans kneels in front of a woman with blue streaked hair in knee high buckled platform boots.","A man wearing jeans kneels in front of a woman with blond streaked hair in knee high buckled platform boots.","A man wearing a black shirt kneels in front of a woman with blue streaked hair in knee high buckled platform boots.","A man wearing a black shirt kneels in front of a woman with blond streaked hair in knee high buckled platform boots.","a couple is talking to each other","entailment"
"Two women wearing wave goodbye.","Two women wearing gloves.","Two women wearing sunglasses.","Two women wearing hats.","Two men leave the park.","contradiction"
